"Emissions","type","year"
0.03,"NON-ROAD",1999
0,"NON-ROAD",1999
0.16,"NON-ROAD",1999
2.75,"NON-ROAD",1999
1.62,"NON-ROAD",1999
1.73,"NON-ROAD",1999
1.74,"NON-ROAD",1999
0,"NON-ROAD",1999
0.23,"NON-ROAD",1999
1.66,"NON-ROAD",1999
0,"NON-ROAD",1999
0.13,"NON-ROAD",1999
0.03,"NON-ROAD",1999
0.1,"NON-ROAD",1999
0.03,"NON-ROAD",1999
0.1,"NON-ROAD",1999
0,"NON-ROAD",1999
0,"NON-ROAD",1999
0.01,"NON-ROAD",1999
0.12,"NON-ROAD",1999
0.11,"NON-ROAD",1999
0,"NON-ROAD",1999
0.07,"NON-ROAD",1999
0.03,"NON-ROAD",1999
0.01,"NON-ROAD",1999
0.01,"NON-ROAD",1999
0.02,"NON-ROAD",1999
0.11,"NON-ROAD",1999
0.02,"NON-ROAD",1999
0.35,"NON-ROAD",1999
0.03,"NON-ROAD",1999
0.71,"NON-ROAD",1999
0.25,"NON-ROAD",1999
0.12,"NON-ROAD",1999
0.22,"NON-ROAD",1999
0.43,"NON-ROAD",1999
0.02,"NON-ROAD",1999
1.8,"NON-ROAD",1999
0.01,"NON-ROAD",1999
0,"NON-ROAD",1999
0,"NON-ROAD",1999
0.01,"NON-ROAD",1999
0,"NON-ROAD",1999
0.05,"NON-ROAD",1999
0.01,"NON-ROAD",1999
0.02,"NON-ROAD",1999
0.02,"NON-ROAD",1999
0,"NON-ROAD",1999
0.14,"NON-ROAD",1999
0,"NON-ROAD",1999
0,"NON-ROAD",1999
0.02,"NON-ROAD",1999
0,"NON-ROAD",1999
0,"NON-ROAD",1999
0.05,"NON-ROAD",1999
0.99,"NON-ROAD",1999
5.26,"NON-ROAD",1999
2.05,"NON-ROAD",1999
2.12,"NON-ROAD",1999
0.22,"NON-ROAD",1999
11.8,"NON-ROAD",1999
2.43,"NON-ROAD",1999
0,"NON-ROAD",1999
0.09,"NON-ROAD",1999
1.37,"NON-ROAD",1999
0.18,"NON-ROAD",1999
0.36,"NON-ROAD",1999
0.49,"NON-ROAD",1999
0,"NON-ROAD",1999
7.15,"NON-ROAD",1999
1.58,"NON-ROAD",1999
3.67,"NON-ROAD",1999
4.06,"NON-ROAD",1999
0.2,"NON-ROAD",1999
350.97,"NON-ROAD",1999
0.8,"NON-ROAD",1999
97.05,"NON-ROAD",1999
0.29,"NON-ROAD",1999
1.85,"NON-ROAD",1999
0.91,"NON-ROAD",1999
0.02,"NON-ROAD",1999
0.05,"NON-ROAD",1999
0,"NON-ROAD",1999
4.64,"NON-ROAD",1999
0.02,"NON-ROAD",1999
4.16,"NON-ROAD",1999
1.86,"NON-ROAD",1999
1.22,"NON-ROAD",1999
0,"NON-ROAD",1999
0,"NON-ROAD",1999
0.01,"NON-ROAD",2002
0.00137294430169277,"NON-ROAD",2002
0.18,"NON-ROAD",2002
0.14,"NON-ROAD",2002
2.56,"NON-ROAD",2002
2.57,"NON-ROAD",2002
3.51,"NON-ROAD",2002
1.54,"NON-ROAD",2002
2.29,"NON-ROAD",2002
1.65,"NON-ROAD",2002
0.72,"NON-ROAD",2002
0.27,"NON-ROAD",2002
0.000631148986940389,"NON-ROAD",2002
0.2,"NON-ROAD",2002
1.45,"NON-ROAD",2002
0.000552304598386399,"NON-ROAD",2002
0.00870230700820685,"NON-ROAD",2002
0.05,"NON-ROAD",2002
0.02,"NON-ROAD",2002
0.06,"NON-ROAD",2002
0.02,"NON-ROAD",2002
0.07,"NON-ROAD",2002
0.00174484838498756,"NON-ROAD",2002
0.00155733071733266,"NON-ROAD",2002
0.00712828966788948,"NON-ROAD",2002
0.94,"NON-ROAD",2002
0.12,"NON-ROAD",2002
0.07,"NON-ROAD",2002
0.07,"NON-ROAD",2002
0.00498551503551426,"NON-ROAD",2002
0.0024650487684994,"NON-ROAD",2002
0.0098035347618861,"NON-ROAD",2002
0.06,"NON-ROAD",2002
