"Emissions","type","year"
7.194,"NONPOINT",1999
55.39,"NONPOINT",1999
1.029,"NONPOINT",1999
37.42,"NONPOINT",1999
5.213,"NONPOINT",1999
241.16,"NONPOINT",1999
2.437,"NONPOINT",1999
0.792,"NONPOINT",1999
0.223,"NONPOINT",1999
1.208,"NONPOINT",1999
36.81,"NONPOINT",1999
62.374,"NONPOINT",1999
3.09,"NONPOINT",1999
102.31,"NONPOINT",1999
4.101,"NONPOINT",1999
1043.61,"NONPOINT",1999
2.09,"NONPOINT",1999
395.92,"NONPOINT",1999
6.24,"NONPOINT",1999
47.77,"NONPOINT",1999
36.338,"NONPOINT",1999
0,"NONPOINT",1999
0,"NONPOINT",1999
0,"NONPOINT",1999
14.906,"NONPOINT",1999
40.64,"NONPOINT",2002
159.78,"NONPOINT",2002
0.92,"NONPOINT",2002
2.03,"NONPOINT",2002
12.95,"NONPOINT",2002
0.73,"NONPOINT",2002
1.78,"NONPOINT",2002
0.01,"NONPOINT",2002
1.3,"NONPOINT",2002
57.14,"NONPOINT",2002
25.89,"NONPOINT",2002
242.87,"NONPOINT",2002
83.55,"NONPOINT",2002
1.61,"NONPOINT",2002
26.06,"NONPOINT",2002
24.77,"NONPOINT",2002
143.04,"NONPOINT",2002
28.14,"NONPOINT",2002
2.92,"NONPOINT",2002
18.13,"NONPOINT",2002
0,"NONPOINT",2002
0,"NONPOINT",2002
215.35,"NONPOINT",2002
0,"NONPOINT",2002
347.59,"NONPOINT",2002
0,"NONPOINT",2002
13.48,"NONPOINT",2002
10.17,"NONPOINT",2002
2.46,"NONPOINT",2002
8.98,"NONPOINT",2002
0.67,"NONPOINT",2002
0.35,"NONPOINT",2002
10.2,"NONPOINT",2002
22.82,"NONPOINT",2002
3.11,"NONPOINT",2002
0.06,"NONPOINT",2002
242.87,"NONPOINT",2005
83.55,"NONPOINT",2005
0,"NONPOINT",2005
57.14,"NONPOINT",2005
1.3,"NONPOINT",2005
347.59,"NONPOINT",2005
2.46,"NONPOINT",2005
0.73,"NONPOINT",2005
12.95,"NONPOINT",2005
26.06,"NONPOINT",2005
24.77,"NONPOINT",2005
1.78,"NONPOINT",2005
13.48,"NONPOINT",2005
0,"NONPOINT",2005
2.03,"NONPOINT",2005
3.11,"NONPOINT",2005
0.67,"NONPOINT",2005
0.92,"NONPOINT",2005
159.78,"NONPOINT",2005
28.14,"NONPOINT",2005
215.35,"NONPOINT",2005
25.89,"NONPOINT",2005
10.2,"NONPOINT",2005
143.04,"NONPOINT",2005
8.98,"NONPOINT",2005
0,"NONPOINT",2005
1.61,"NONPOINT",2005
0.01,"NONPOINT",2005
22.82,"NONPOINT",2005
18.13,"NONPOINT",2005
2.92,"NONPOINT",2005
0.06,"NONPOINT",2005
0,"NONPOINT",2005
0.35,"NONPOINT",2005
10.17,"NONPOINT",2005
40.64,"NONPOINT",2005
2.49714,"NONPOINT",2008
0.015,"NONPOINT",2008
0.0258414,"NONPOINT",2008
10.4741,"NONPOINT",2008
4.81,"NONPOINT",2008
3.04384,"NONPOINT",2008
13.0317,"NONPOINT",2008
0,"NONPOINT",2008
87.906,"NONPOINT",2008
15.25,"NONPOINT",2008
0.0114897,"NONPOINT",2008
0.901605,"NONPOINT",2008
0.107503842,"NONPOINT",2008
5.1792,"NONPOINT",2008
137.002,"NONPOINT",2008
0.04890555,"NONPOINT",2008
75.3358,"NONPOINT",2008
0,"NONPOINT",2008
11.8951,"NONPOINT",2008
0.4463,"NONPOINT",2008
224.745,"NONPOINT",2008
0,"NONPOINT",2008
0.8137,"NONPOINT",2008
222.537,"NONPOINT",2008
17.2939,"NONPOINT",2008
45.713,"NONPOINT",2008
1.79825,"NONPOINT",2008
0,"NONPOINT",2008
0,"NONPOINT",2008
15.4155,"NONPOINT",2008
53.48182,"NONPOINT",2008
194.88,"NONPOINT",2008
15.1252,"NONPOINT",2008
28.1256,"NONPOINT",2008
4.2106458801,"NONPOINT",2008
15.8556,"NONPOINT",2008
0.157405,"NONPOINT",2008
0,"NONPOINT",2008
1.05,"NONPOINT",2008
1.8239,"NONPOINT",2008
22.09,"NONPOINT",2008
9.74377,"NONPOINT",2008
130.314,"NONPOINT",2008
0,"NONPOINT",2008
0.0514916,"NONPOINT",2008
