"Emissions","type","year"
7.38,"ON-ROAD",1999
2.78,"ON-ROAD",1999
11.76,"ON-ROAD",1999
3.5,"ON-ROAD",1999
1.32,"ON-ROAD",1999
5.58,"ON-ROAD",1999
4.43,"ON-ROAD",1999
1.67,"ON-ROAD",1999
8.41,"ON-ROAD",1999
3.66,"ON-ROAD",1999
1.38,"ON-ROAD",1999
6.94,"ON-ROAD",1999
1.64,"ON-ROAD",1999
0.62,"ON-ROAD",1999
3.11,"ON-ROAD",1999
1.53,"ON-ROAD",1999
0.58,"ON-ROAD",1999
2.89,"ON-ROAD",1999
2.77,"ON-ROAD",1999
1.05,"ON-ROAD",1999
5.96,"ON-ROAD",1999
1.32,"ON-ROAD",1999
0.5,"ON-ROAD",1999
2.83,"ON-ROAD",1999
1.67,"ON-ROAD",1999
0.63,"ON-ROAD",1999
3.77,"ON-ROAD",1999
1.38,"ON-ROAD",1999
0.52,"ON-ROAD",1999
3.11,"ON-ROAD",1999
0.62,"ON-ROAD",1999
0.23,"ON-ROAD",1999
1.4,"ON-ROAD",1999
0.57,"ON-ROAD",1999
0.22,"ON-ROAD",1999
1.3,"ON-ROAD",1999
0.95,"ON-ROAD",1999
0.36,"ON-ROAD",1999
3.43,"ON-ROAD",1999
0.45,"ON-ROAD",1999
0.17,"ON-ROAD",1999
1.63,"ON-ROAD",1999
0.57,"ON-ROAD",1999
0.22,"ON-ROAD",1999
2.11,"ON-ROAD",1999
0.47,"ON-ROAD",1999
0.18,"ON-ROAD",1999
1.74,"ON-ROAD",1999
0.21,"ON-ROAD",1999
0.08,"ON-ROAD",1999
0.78,"ON-ROAD",1999
0.2,"ON-ROAD",1999
0.07,"ON-ROAD",1999
0.73,"ON-ROAD",1999
0.36,"ON-ROAD",1999
0.15,"ON-ROAD",1999
5.27,"ON-ROAD",1999
0.17,"ON-ROAD",1999
0.07,"ON-ROAD",1999
2.5,"ON-ROAD",1999
0.22,"ON-ROAD",1999
0.09,"ON-ROAD",1999
3.13,"ON-ROAD",1999
0.18,"ON-ROAD",1999
0.07,"ON-ROAD",1999
2.58,"ON-ROAD",1999
0.08,"ON-ROAD",1999
0.03,"ON-ROAD",1999
1.16,"ON-ROAD",1999
0.07,"ON-ROAD",1999
0.03,"ON-ROAD",1999
1.08,"ON-ROAD",1999
0.05,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.13,"ON-ROAD",1999
0.02,"ON-ROAD",1999
0.06,"ON-ROAD",1999
0.03,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.08,"ON-ROAD",1999
0.02,"ON-ROAD",1999
0.07,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.03,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.03,"ON-ROAD",1999
0.02,"ON-ROAD",1999
0.01,"ON-ROAD",1999
1.09,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.52,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.66,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.54,"ON-ROAD",1999
0.24,"ON-ROAD",1999
0.23,"ON-ROAD",1999
0.02,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.92,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.44,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.55,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.46,"ON-ROAD",1999
0.2,"ON-ROAD",1999
0.19,"ON-ROAD",1999
0.1,"ON-ROAD",1999
0.04,"ON-ROAD",1999
4.14,"ON-ROAD",1999
0.05,"ON-ROAD",1999
0.02,"ON-ROAD",1999
1.97,"ON-ROAD",1999
0.06,"ON-ROAD",1999
0.02,"ON-ROAD",1999
2.49,"ON-ROAD",1999
0.05,"ON-ROAD",1999
0.02,"ON-ROAD",1999
2.05,"ON-ROAD",1999
0.02,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.92,"ON-ROAD",1999
0.02,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.86,"ON-ROAD",1999
0.06,"ON-ROAD",1999
0.03,"ON-ROAD",1999
2.07,"ON-ROAD",1999
0.03,"ON-ROAD",1999
0.02,"ON-ROAD",1999
0.98,"ON-ROAD",1999
0.03,"ON-ROAD",1999
0.02,"ON-ROAD",1999
1.25,"ON-ROAD",1999
0.03,"ON-ROAD",1999
0.02,"ON-ROAD",1999
1.03,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.46,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.01,"ON-ROAD",1999
0.43,"ON-ROAD",1999
0.13,"ON-ROAD",1999
0.08,"ON-ROAD",1999
11.44,"ON-ROAD",1999
0.06,"ON-ROAD",1999
0.04,"ON-ROAD",1999
5.43,"ON-ROAD",1999
0.08,"ON-ROAD",1999
0.05,"ON-ROAD",1999
6.88,"ON-ROAD",1999
0.07,"ON-ROAD",1999
0.04,"ON-ROAD",1999
5.67,"ON-ROAD",1999
0.03,"ON-ROAD",1999
0.02,"ON-ROAD",1999
2.54,"ON-ROAD",1999
0.03,"ON-ROAD",1999
0.02,"ON-ROAD",1999
2.37,"ON-ROAD",1999
0.38,"ON-ROAD",1999
0.64,"ON-ROAD",1999
46.43,"ON-ROAD",1999
0.18,"ON-ROAD",1999
0.31,"ON-ROAD",1999
22.05,"ON-ROAD",1999
0.23,"ON-ROAD",1999
0.39,"ON-ROAD",1999
27.91,"ON-ROAD",1999
0.19,"ON-ROAD",1999
