"Emissions","type","year"
6.532,"POINT",1999
78.88,"POINT",1999
0.92,"POINT",1999
10.376,"POINT",1999
10.859,"POINT",1999
83.025,"POINT",1999
6.29,"POINT",1999
28.828,"POINT",1999
24.736,"POINT",1999
40.59,"POINT",1999
0.232,"POINT",1999
3.29,"POINT",1999
2.237,"POINT",1999
0.42,"POINT",2002
13.72,"POINT",2002
2.31,"POINT",2002
0.1,"POINT",2002
3.07,"POINT",2002
10.46,"POINT",2002
0.51,"POINT",2002
2.86,"POINT",2002
0.58,"POINT",2002
0.81,"POINT",2002
1.56,"POINT",2002
0.03,"POINT",2002
0.06,"POINT",2002
1.06,"POINT",2002
5.11,"POINT",2002
0.31,"POINT",2002
2.9,"POINT",2002
0.71,"POINT",2002
6.12,"POINT",2002
0.29,"POINT",2002
0.25,"POINT",2002
0.03,"POINT",2002
0.4,"POINT",2002
8.17,"POINT",2002
9.7,"POINT",2002
0.01,"POINT",2002
0.95,"POINT",2002
70.27,"POINT",2002
11.32,"POINT",2002
0.15,"POINT",2002
56.02,"POINT",2002
0.13,"POINT",2002
0.36,"POINT",2002
20.21,"POINT",2002
6.07,"POINT",2002
0.68,"POINT",2002
24.97,"POINT",2002
20.34,"POINT",2002
39.31,"POINT",2002
2.87,"POINT",2002
49.31,"POINT",2002
0.27,"POINT",2002
0.37,"POINT",2002
1.27,"POINT",2002
2.03,"POINT",2002
5.9,"POINT",2002
5.51,"POINT",2002
1.11,"POINT",2002
6.56,"POINT",2002
12.93,"POINT",2002
2.74,"POINT",2002
0.11,"POINT",2002
0.61,"POINT",2002
5.07,"POINT",2002
114.45,"POINT",2002
0.91,"POINT",2002
0.42,"POINT",2002
0.08,"POINT",2002
0.17,"POINT",2002
4.46,"POINT",2002
0.16,"POINT",2002
0.02,"POINT",2002
17.15,"POINT",2002
2.59,"POINT",2002
3.65,"POINT",2002
2.34,"POINT",2002
3.87,"POINT",2002
24.51,"POINT",2005
1.92,"POINT",2005
4.47,"POINT",2005
0.1,"POINT",2005
14.58,"POINT",2005
1.7,"POINT",2005
4.88,"POINT",2005
1.45,"POINT",2005
0.35,"POINT",2005
257.15,"POINT",2005
0.4,"POINT",2005
0.9,"POINT",2005
0.04,"POINT",2005
0.94,"POINT",2005
2.13,"POINT",2005
1.31,"POINT",2005
0.24,"POINT",2005
1.67,"POINT",2005
2.79,"POINT",2005
4.43,"POINT",2005
4.19,"POINT",2005
0.14,"POINT",2005
0.31,"POINT",2005
0.18,"POINT",2005
25.86,"POINT",2005
0.99,"POINT",2005
0.64,"POINT",2005
41.86,"POINT",2005
0.2,"POINT",2005
7.1,"POINT",2005
138.36,"POINT",2005
9.93,"POINT",2005
7.95,"POINT",2005
5.84,"POINT",2005
23.63,"POINT",2005
1.21,"POINT",2005
1.18,"POINT",2005
43.29,"POINT",2005
7.2,"POINT",2005
0.26,"POINT",2005
0.38,"POINT",2005
64.88,"POINT",2005
0.22,"POINT",2005
52.99,"POINT",2005
7.26,"POINT",2005
8.47,"POINT",2005
0.51,"POINT",2005
0.29,"POINT",2005
24.73,"POINT",2005
77.45,"POINT",2005
1.63,"POINT",2005
2.41,"POINT",2005
25.25,"POINT",2005
8.84,"POINT",2005
8.5,"POINT",2005
2.66,"POINT",2005
0.53,"POINT",2005
13.72,"POINT",2005
23.85,"POINT",2005
0.46,"POINT",2005
159.52,"POINT",2005
1.87,"POINT",2005
9.06,"POINT",2005
1.14,"POINT",2005
0.85,"POINT",2005
2.42,"POINT",2005
0.38,"POINT",2005
3.26,"POINT",2005
39.89,"POINT",2005
0.6,"POINT",2005
12.19,"POINT",2005
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
0.000783137,"POINT",2008
0.00138622,"POINT",2008
2.23015,"POINT",2008
2.23015,"POINT",2008
2.23015,"POINT",2008
2.23015,"POINT",2008
2.23015,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.00857623,"POINT",2008
0.00857623,"POINT",2008
0,"POINT",2008
0.00821421,"POINT",2008
0.00821421,"POINT",2008
0.632993,"POINT",2008
0.06279,"POINT",2008
0.0039,"POINT",2008
0.0328228,"POINT",2008
4.17649,"POINT",2008
0.653373,"POINT",2008
0,"POINT",2008
0.00806053,"POINT",2008
0.175812,"POINT",2008
0.176085,"POINT",2008
0.176085,"POINT",2008
0.176085,"POINT",2008
0.078975,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.10296,"POINT",2008
4.41792,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.448248,"POINT",2008
22.2504,"POINT",2008
14.4292,"POINT",2008
1.91034,"POINT",2008
0,"POINT",2008
15.5972,"POINT",2008
30.7639,"POINT",2008
0,"POINT",2008
5.22075,"POINT",2008
19.4597,"POINT",2008
0.1935,"POINT",2008
0.78767,"POINT",2008
0.78767,"POINT",2008
0.78767,"POINT",2008
0.78767,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.0755575,"POINT",2008
0.0992921,"POINT",2008
0.0289539,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.00208,"POINT",2008
0,"POINT",2008
3.91072,"POINT",2008
2.02578,"POINT",2008
53.3992,"POINT",2008
2.87149,"POINT",2008
0,"POINT",2008
1.37407,"POINT",2008
0,"POINT",2008
1.2337,"POINT",2008
2.5623,"POINT",2008
0.04745,"POINT",2008
0,"POINT",2008
7.92415,"POINT",2008
7.92415,"POINT",2008
7.92415,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.108973,"POINT",2008
7.31313,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.00182,"POINT",2008
0.003276,"POINT",2008
0,"POINT",2008
0.699787,"POINT",2008
0.00452597,"POINT",2008
0.0414012,"POINT",2008
0.154889,"POINT",2008
0.140074,"POINT",2008
0.385839,"POINT",2008
0.0176454,"POINT",2008
0,"POINT",2008
1.898,"POINT",2008
1.73482,"POINT",2008
3.27708,"POINT",2008
0,"POINT",2008
0,"POINT",2008
1.02461,"POINT",2008
0.127728,"POINT",2008
1.28872,"POINT",2008
1.47323,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.423647,"POINT",2008
0,"POINT",2008
3.10757,"POINT",2008
0.375206,"POINT",2008
0,"POINT",2008
0.0309468,"POINT",2008
0.0433255,"POINT",2008
0.0309468,"POINT",2008
0.0340415,"POINT",2008
0.02145,"POINT",2008
0.072072,"POINT",2008
0.04095,"POINT",2008
0.04095,"POINT",2008
0.0208,"POINT",2008
0.0208,"POINT",2008
0.00195,"POINT",2008
0.00195,"POINT",2008
0.0807794,"POINT",2008
0.0726302,"POINT",2008
0.359101,"POINT",2008
0.159992,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.79417,"POINT",2008
0.072645,"POINT",2008
1.3735,"POINT",2008
0.67954,"POINT",2008
3.7303,"POINT",2008
0,"POINT",2008
4.17663,"POINT",2008
3.47378,"POINT",2008
0,"POINT",2008
2.31218,"POINT",2008
0,"POINT",2008
5.7885,"POINT",2008
5.34254,"POINT",2008
3.09963,"POINT",2008
3.13148,"POINT",2008
3.22638,"POINT",2008
1.04176,"POINT",2008
0,"POINT",2008
3.73779,"POINT",2008
1.83015,"POINT",2008
2.78281,"POINT",2008
1.59308,"POINT",2008
0,"POINT",2008
0.639977,"POINT",2008
10.076,"POINT",2008
0,"POINT",2008
0.26325,"POINT",2008
0.0154119,"POINT",2008
0.0154119,"POINT",2008
0.0400709,"POINT",2008
0.0354474,"POINT",2008
0,"POINT",2008
1.256,"POINT",2008
0.09035,"POINT",2008
0.286208,"POINT",2008
0.26416,"POINT",2008
0.0251028,"POINT",2008
0.00776991,"POINT",2008
0,"POINT",2008
0.0658795,"POINT",2008
0.0254614,"POINT",2008
0.773673,"POINT",2008
0.351316,"POINT",2008
0.00665224,"POINT",2008
0.00665224,"POINT",2008
0.639101,"POINT",2008
0.133554,"POINT",2008
0.750235,"POINT",2008
1.22933,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.04745,"POINT",2008
0,"POINT",2008
0.63388,"POINT",2008
0.9035,"POINT",2008
1.11592,"POINT",2008
0.330564,"POINT",2008
0,"POINT",2008
0.000281703,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.1014,"POINT",2008
8.0407,"POINT",2008
0.833352,"POINT",2008
0.043654,"POINT",2008
0.043654,"POINT",2008
0.043654,"POINT",2008
0,"POINT",2008
0.00209084,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.05083,"POINT",2008
0.6864,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.3567,"POINT",2008
1.00188,"POINT",2008
0.7347,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.0104664,"POINT",2008
0,"POINT",2008
0.15274,"POINT",2008
0.0628894,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0.00444336,"POINT",2008
0.0112885,"POINT",2008
0.0112885,"POINT",2008
0.179859,"POINT",2008
5.31846,"POINT",2008
7.154,"POINT",2008
0.373265,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
0,"POINT",2008
